class,armpit_left,armpit_right,elbow_left,elbow_right,hip_left,hip_right,knee_left,knee_right
5,128,136,174,170,46,127,142,177
5,124,147,174,128,34,150,112,123
5,96,169,178,81,112,80,176,90
5,90,147,98,176,102,74,154,149
5,166,141,138,72,18,159,131,175
5,152,160,146,160,97,76,178,160
5,172,174,171,167,13,164,131,170
5,119,112,177,179,18,141,134,167
5,175,143,144,175,14,155,142,162
5,95,121,37,161,146,35,123,119
5,167,137,83,120,95,80,105,150
5,134,166,177,179,159,2,152,125
5,178,126,149,177,27,149,157,154
5,133,179,107,136,110,79,157,137
5,108,134,177,130,135,55,140,129
5,165,161,180,165,142,38,118,121
5,83,133,169,93,154,35,136,168
5,166,130,163,173,6,178,148,177
5,129,127,180,64,145,33,171,156
5,128,94,125,174,105,37,137,146
5,146,161,180,173,141,35,140,147
5,137,158,120,121,58,96,135,163
5,84,154,179,155,114,77,178,112
5,168,120,102,179,37,148,148,168
5,119,113,174,173,109,64,114,127
5,65,168,173,171,87,97,175,101
5,64,69,175,175,30,136,158,173
5,114,113,39,175,20,162,139,178
5,138,134,106,99,112,83,139,142
5,120,81,156,42,72,117,156,135
5,113,178,179,176,137,40,135,177
5,165,148,139,177,110,70,127,180
5,164,127,134,172,40,157,148,179
5,138,172,179,146,125,49,134,137
5,102,81,106,98,116,48,145,144
5,117,167,169,157,115,74,129,154
5,113,146,180,174,176,3,172,125
5,148,132,180,110,122,55,127,132
5,102,130,179,175,152,45,135,119
5,136,118,177,95,120,48,165,132
5,107,163,178,170,102,54,122,143
5,154,117,150,173,22,167,136,173
5,128,156,178,148,124,51,122,175
5,145,110,150,60,69,105,104,97
5,149,128,160,179,7,162,147,178
5,104,158,169,148,127,51,156,156
5,121,136,44,171,1,176,147,152
6,107,109,158,169,77,98,147,143
6,66,79,17,11,89,78,133,121
6,88,89,161,163,81,95,160,173
6,80,77,162,172,85,91,168,172
6,96,87,23,70,176,98,53,121
6,96,95,174,168,152,20,136,150
6,46,46,154,164,170,37,122,152
6,90,90,169,175,141,37,175,172
6,43,40,112,120,77,92,77,64
6,61,92,100,67,78,97,164,161
6,138,126,159,180,152,27,162,60
6,89,99,6,169,64,167,94,160
6,85,90,174,173,82,94,159,156
6,76,77,168,173,132,49,154,157
6,73,106,166,144,79,96,168,167
6,59,64,164,16,115,55,175,147
6,75,85,165,167,37,140,159,165
6,84,90,7,171,92,87,156,156
6,104,80,167,84,5,158,176,162
6,81,90,173,176,62,112,140,140
6,72,71,159,178,168,12,43,65
6,87,82,170,170,33,144,158,164
6,155,174,133,62,105,93,53,177
6,0,34,140,168,158,9,117,157
6,94,96,178,167,102,163,44,133
6,95,103,73,66,1,179,180,176
6,84,94,154,155,63,109,69,62
6,71,77,142,87,24,161,156,168
6,4,82,88,55,22,112,85,33
6,83,105,175,156,72,15,104,7
6,52,89,105,73,67,110,20,20
6,119,108,155,164,121,67,171,174
6,84,93,172,165,133,46,156,158
6,80,78,171,177,78,96,145,140
6,80,84,176,177,140,85,180,117
6,73,70,129,140,94,69,146,130
6,79,85,160,155,172,93,55,94
6,86,87,169,151,82,165,35,114
6,87,33,165,79,127,56,165,174
6,84,82,165,170,126,57,171,177
6,79,77,166,168,157,72,48,158
6,86,94,167,165,139,122,56,130
6,76,76,166,174,82,84,155,134
6,42,101,145,62,48,130,174,171
6,71,103,166,138,69,100,176,168
6,114,131,166,162,73,125,125,171
6,69,83,166,172,111,52,145,168
6,92,100,177,124,134,137,1,155
6,25,23,127,114,125,53,141,144
6,89,86,178,175,151,110,49,133
6,86,89,168,169,124,55,177,176
6,84,84,175,177,34,146,176,177
6,86,90,175,178,92,87,176,177
6,96,97,179,170,62,126,86,124
6,84,87,73,64,78,103,175,173
6,76,94,170,179,31,147,173,176
6,91,103,178,169,132,145,40,139
6,73,75,174,176,71,92,153,138
7,163,164,163,167,168,159,161,178
7,179,174,176,179,176,142,165,166
7,174,176,164,179,157,177,173,148
7,154,155,180,175,156,172,167,180
7,178,177,169,146,162,158,135,170
7,176,172,169,172,142,173,158,178
7,171,173,171,168,164,174,169,177
7,178,178,177,174,172,151,174,151
7,163,174,174,167,105,144,155,171
7,176,174,152,159,114,172,132,180
7,169,169,168,167,87,122,165,174
7,163,174,161,169,128,176,143,176
7,178,177,171,178,169,155,152,173
7,174,180,172,180,171,150,161,165
7,175,171,164,161,158,171,157,180
7,172,176,170,163,156,146,168,148
7,166,173,165,171,150,166,158,169
7,151,140,171,168,168,169,165,180
7,179,176,167,163,172,144,166,142
7,169,175,172,154,163,135,180,161
7,111,87,7,82,1,96,162,99
7,178,177,174,160,151,173,170,179
7,173,170,171,176,172,131,159,165
7,168,166,163,161,171,156,174,166
7,169,172,171,173,177,138,147,176
7,175,179,179,174,128,179,153,161
7,180,178,167,168,161,168,163,176
7,168,161,154,163,0,180,24,23
7,179,172,7,171,177,115,163,150
8,78,78,176,178,64,116,140,80
8,81,83,174,173,139,39,93,95
8,76,74,180,175,107,82,66,78
8,65,70,172,173,28,149,101,90
8,74,72,177,174,11,169,75,83
8,84,87,172,164,180,2,88,85
8,71,74,168,168,2,178,83,74
8,78,83,177,176,43,137,91,90
8,73,74,177,179,12,170,89,84
8,83,86,175,174,138,41,95,89
8,81,84,177,177,28,146,109,116
8,97,108,175,160,92,91,129,79
8,89,79,177,176,72,112,107,169
8,66,68,173,174,2,178,98,87
8,67,66,174,180,102,77,68,101
8,85,94,177,174,63,116,98,96
8,61,57,177,163,173,6,111,89
8,64,68,175,175,6,174,101,88
8,72,73,179,177,127,52,93,85
8,82,79,178,163,23,156,90,86
